Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Red Abbey,http://www.corkpastandpresent.ie/mapsimages/corkphotographs/corkcameraclubhistoricalphotos/redabbeystreet/,353215000000,-8.4723587,51.8940883,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Front Strand Beach,https://youghal.ie/top-10-things-to-do/youghal-beaches/,+353(0)2420769,-7.851509,51.937915,Cork,Youghal,Republic of Ireland,"Surfing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
The Donegal Gaeltacht,,,-8.1107141,54.654487,Donegal,Glencolmcille,Ireland,Natural Landscape
Esker Monastery Retreat,http://www.facebook.com/Esker-Redemptorists-251128325046360/,+353(0)91844007,-8.683624,53.282257,Galway,Kiltullagh,Republic of Ireland,"Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Activity Operator"
Shekina Sculpture Garden,http://www.shekinasculpturegarden.com,353869000000,-6.351044997,52.95589079,Wicklow,Glenmalure,Republic of Ireland,"Gardens,Garden"
The Lace Gallery,http://www.thelacegallery.com,353599000000,-6.7364351,52.7535167,Carlow,,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Cleggan Harbour,,,-10.111172,53.556776,Galway,Cleggan,Ireland,Embarkation Point
The Manor Fields Adare,http://manorfieldsadare.com/,353874000000,-8.7913384,52.5547882,Limerick,Adare,Republic of Ireland,"Climbing,Activity Operator,Gaa,Walking"
Ahenny High Crosses,http://www.megalithicireland.com/High%20Cross%20Ahenny.htm,,-7.393333382,52.41253746,Tipperary,Ahenny,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
"Victorian People's Flower Gardens, Phoenix Park",http://phoenixpark.ie/what-to-see/,+353(0)18213021,-6.299662901,53.35038531,Dublin,Phoenix Park,Ireland,"Walking,Gardens,Garden,Public Park,Nature and Wildlife,Cafe,Food and Drink"
Cablemaster's Residence,https://atlanticvilla.ie/cablemaster-house,353872000000,-10.289066,51.922393,Kerry,Knightstown,Republic of Ireland,"Castle,Historic Houses and Castle"
Woodstown Beach,,,-6.983563056,52.19287649,Waterford,Woodstown,Republic of Ireland,Beach
Kilpatrick Beach,,,-6.151020144,52.72790513,Wexford,Castletown,Republic of Ireland,Beach
Muckross Friary,http://www.heritageireland.ie/en,353647000000,-9.504292,52.018083,Kerry,Killarney,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,National Park,National and Forest Park,Ruins"
Cionn Mhucrois (Muckros Head),,,-8.5899407,54.617378,Donegal,Kilcar,Ireland,Discovery Point
St. Patricks Well - Clonmel,,353526000000,-7.761667,52.362071,Tipperary,Clonmel,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Secret Gardens Sligo,https://www.secretgardensofsligo.com/gardens,353863000000,-8.476086439,54.27641929,Sligo,Sligo Town,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Aran Islands - Inishmaan - Inis Meáin,,,-9.58965917,53.08469456,Galway,Aran Islands,Republic of Ireland,"Island,Offshore Island"
Edmund Burke,http://www.visitdublin.com,+353(0)16057700,-6.261219,53.344479,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Tour"
Castlemorris - Fern Loop,http://www.irishtrails.ie/Trail/Castlemorris---Fern-loop-/119/,,-7.212819444,52.48398887,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Martina Furlong - Artists Studio Gallery,https://www.martinafurlong.com/,353875000000,-6.4063611,52.498219,Wexford,Gorey,Ireland,"Craft,Shopping,Art Gallery"
Shannon-Erne Waterway Ballinamore,http://www.waterwaysireland.org/places-to-go/shannon-erne-waterway,+353(0)719644855,-7.804921955,54.05289061,Leitrim,Ballinamore,Republic of Ireland,"Fishing,Angling,River,Discovery Point,Boat,Tour"
Greenfort,http://www.donegalgardentrail.com/site/?page_id=2306,353878000000,-7.65388635,55.13440451,Donegal,Kerrykeel,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Beale Strand,,,-9.6312144,52.573972,Kerry,Ballybunion,Ireland,Discovery Point
Áras Inis Gluaire,http://arasinisgluaire.ie/main/,+353(0)9781079,-9.988932505,54.22246655,Mayo,Belmullet,Republic of Ireland,"Craft,Shopping,Learning,Movies,Cinema,Venue,Art Gallery,Music,Cafe,Food and Drink"
Old Cork Waterworks Experience,http://www.lifetimelab.ie,353215000000,-8.5092931,51.895023,Cork,,Ireland,"Covid Safety Charter,Learning,Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink"
Dun na Rí Forest Park,http://www.coillte.ie/site/dun-a-ri-forest-park/,+353(0)494331942,-6.792601382,53.91922203,Cavan,Kingscourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
RUA RED South Dublin Arts Centre,http://www.ruared.ie,+353(0)14515860,-6.2603097,53.3498053,Dublin,Tallaght,Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink"
Carran Medieval Church,,353657000000,-9.0760449,53.0376019,Clare,Carran,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardmulchan Church,"http://www.megalithicireland.com/Ardmulchan%20Church,%20Meath.html",,-6.628602,53.6718102,Meath,Kells,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Arthur Wellesley Duke Of Wellington,http://www.visitdublin.com,+353(0)16057700,-6.303231,53.349086,Dublin,Phoenix Park,Republic of Ireland,Public Sculpture
National Archives of Ireland,http://www.nationalarchives.ie,35314072300,-6.268747,53.338802,Dublin,Dublin City,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction"
Eighty Two Merrion Square,,+353(0)16761173,-6.251328,53.339313,Dublin,Dublin City Centre,Republic of Ireland,"Castle,Historic Houses and Castle"
Doe Castle View,,,-7.8514212,55.128775,Donegal,,Ireland,Discovery Point
Nano Nagle Centre,http://www.nanonaglebirthplace.ie,3532226411,-8.52273,52.15127,Cork,,Ireland,"Learning,Museums and Attraction"
Ballybunion 'Walking the Beach' Looped Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Beach-Walk/607/,+353(0)667121288,-9.671727706,52.52350188,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Sphere With Sphere,,+353(0)16082320,-6.261219,53.344479,Dublin,Dublin City Centre,Republic of Ireland,Public Sculpture
Shelmalier Forth Mountain,,+353(0)539239400,-6.573049286,52.31663311,Wexford,Barntown,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Parkavonear Castle,http://www.megalithicireland.com/Parkavonear%20Castle.html,353647000000,-9.5550062,52.0759354,Kerry,,Ireland,"Castle,Historic Houses and Castle"
The Dillon Garden,http://www.dillongarden.com,35312148740,-6.1596571,53.2954544,Dublin,Monkstown,Ireland,"Gardening,Nature and Wildlife,Learning,Gardens,Garden,Tour"
Lislaughtin Franciscan Friary,,353667000000,-9.47861,52.547334,Kerry,Ballylongford,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
12 Henrietta Street,http://thedrawingroom.ie/,+353(0)862746153,-6.2705757,53.3524569,Dublin,Dublin City Centre,Ireland,"Historic Houses and Castle,Venue,Music"
Tarbert Bridewell Courthouse & Jail Museum,http://www.tarbertbridewell.com,3536836500,-9.3764602,52.573661,Kerry,Tarbert,Ireland,"Photography,Learning,Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping"
Bullock Castle,http://www.dlrtourism.ie,+353(0)1280 6964,-6.108629,53.285016,Dublin,Dalkey,Republic of Ireland,"Castle,Historic Houses and Castle,Ruins"
Kilcrea Franciscan Friary,http://ovensparish.com/kilcrea-abbey/,353215000000,-8.709483,51.859982,Cork,Ovens,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Wexford Garden Trail,http://www.wexfordgardentrail.com,,-6.992454254,52.29638937,Wexford,,Ireland,"Gardening,Nature and Wildlife,Walking,Gardens,Garden"
Commons Loop,http://www.carlingford.ie,+353(0)429373033,-6.186023506,54.03790008,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Malaidh Ghleann Gheis (Glengesh Pass),,,-8.4845379,54.720577,Donegal,,Republic of Ireland,Discovery Point
Inch Island,,,-7.4599475,55.054828,Donegal,,Ireland,Discovery Point
Ceann Sléibhe (Slea Head) Discovery Point,,,-10.4553373,52.1050217,Kerry,,Ireland,Discovery Point
Dromana House Gardens,https://dromanahouse.com,3532496144,-7.8651795,52.1075711,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden,Tour"
Kissane Sheep Farm,https://www.kissanesheepfarm.com/,353647000000,-9.6325947,51.9486423,Kerry,,Ireland,"Agriculture,Nature and Wildlife,Visitor Farm,Tour"
Kilkieran High Cross,http://www.megalithicireland.com/High%20Cross%20Kilkieran.htm,353568000000,-7.3808278,52.39794,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Geokaun Mountain,,,-10.345704,51.922484,Kerry,Valentia Island,Ireland,Discovery Point
Trá Oilí (Elly Beach),,,-10.086517,54.162316,Mayo,,Republic of Ireland,Discovery Point
Carlow Castle,https://carlowtourism.com/carlow-castle-2,353599000000,-6.935935,52.8362564,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
National Folklore Collection,http://www.ucd.ie/irishfolklore,+353(0)17168216,-6.21882,53.30680741,Dublin,,Ireland,"Learning,Museums and Attraction,Literary Ireland,Cafe,Food and Drink,Tour"
St. Patrick's Trail - Driving Route,http://www.carlowtourism.com,+353(0)599131554,-6.928555,52.83657,Carlow,,Ireland,"Activity Operator,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Ruins,Historic Houses and Castle"
Clare Heritage & Genealogy Centre,http://www.clareroots.com,353657000000,-9.0627719,52.9449817,Clare,Corofin,Ireland,"Covid Safety Charter,Learning,Activity Operator,Tracing Your Ancestors,Museums and Attraction"
Howth Castle,http://howthcastle.ie,+353(0)18321027,-6.079225289,53.3865384,Dublin,Howth,Republic of Ireland,"Covid Safety Charter,Golf,Walking,Historic Houses and Castle,Castle"
The Gaiety Theatre,http://www.gaietytheatre.ie,+353(0)16468600,-6.26163,53.340387,Dublin,,Republic of Ireland,"Historic Houses and Castle,Venue,Comedy,Music,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Henry Grattan,,,-6.260889,53.34435,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Dolly's Cottage,https://www.facebook.com/DollysCottage,353719000000,-8.5841759,54.270777,Sligo,Strandhill,Ireland,"Castle,Historic Houses and Castle"
Irish Georgian Society,http://www.igs.ie,+353(0)16798675,-6.250557,53.338964,Dublin,Dublin,Republic of Ireland,"Learning,Historic Houses and Castle,Food Shops,Shopping,Tour"
Toe Head Bay,,,-9.2476666,51.493251,Cork,Castletownshend,Ireland,Discovery Point
Bram Stoker’s Castle Dracula Experience Dublin,http://www.CastleDracula.ie,+353(0)18512151,-6.229030364,53.36303247,Dublin,Clontarf,Ireland,"Activity Operator,Museums and Attraction,Literary Ireland,Venue,Music,Food Shops,Shopping"
Patrick Kavanagh,,,-6.2475417,53.3336867,Dublin,,Ireland,"Public Sculpture,Literary Ireland"
The Black Church,https://www.dublincity.ie/dublin-buildings/black-church,,-6.2679431,53.3546532,Dublin,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Clonfert Pet Farm,https://www.clonfertpetfarm.com/,35316016314,-6.6745734,53.3618657,Kildare,Maynooth,Republic of Ireland,"Visitor Farm,Cafe,Food and Drink"
Killaghy Castle,http://www.castlesinireland.com/castle-in-tipperary-killaghy-castle-tipperary,,-7.5144163,52.5172294,Tipperary,Mullinahone,Ireland,"Castle,Historic Houses and Castle"
St Johns Priory,,353568000000,-7.248489188,52.65368264,Kilkenny,Kilkenny City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Castlemorris Wood - Holly Loop,http://www.irishtrails.ie/Trail/Castlemorris---Holly-loop/120/,,-7.27840948,52.47060617,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Radharc na mBlascaoidí - Blaskets View,,,-10.455488,52.104973,Kerry,Dingle Peninsula,Ireland,Discovery Point
The Irish Dance Party,http://irishdanceparty.com,353877000000,-6.2548351,53.3507932,Dublin,Dublin,Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Activity Operator,Historic Houses and Castle,Traditionally Irish,Venue,Music,Local Produce,Pubs and Bar,Food Shops,Shopping"
Leap Castle,http://leapcastle.net,353579000000,-7.8084534,53.0279902,Offaly,Leap,Ireland,"Castle,Historic Houses and Castle"
Phoenix Park Visitor Centre and Ashtown Castle,http://www.phoenixpark.ie,+353(0)16770095,-6.331008,53.366091,Dublin,Phoenix Park,Republic of Ireland,"Covid Safety Charter,Walking,Activity Operator,Castle,Historic Houses and Castle,Gardens,Garden,Cafe,Food and Drink,Food Shops,Shopping"
Ballindoon Abbey,http://www.megalithicireland.com/Ballindoon%20Priory.html,353719000000,-8.323266467,54.08492133,Sligo,Ballymote,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Garden of Re-Imagination,https://twogreenshoots.com,353897000000,-9.5685205,51.7773885,Cork,,Ireland,"Food and Drink,Restaurant,Gardens,Garden,Artisan,Local Produce,Vegan,Vegetarian"
Griffith Park,,+353(0)18373290,-6.261854713,53.37055995,Dublin,Drumcondra,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Curragh Beach,,,-7.70896021,51.96696584,Waterford,Ardmore,Ireland,Beach
Wild Ireland,https://www.wildireland.org,,-7.3386082,55.0522279,Donegal,,Republic of Ireland,"Covid Safety Charter,Visitor Farm,Tour"
Mossfield Organic Farm,http://www.mossfield.ie,353579000000,-7.8005629,53.060734,Offaly,,Ireland,Visitor Farm
University College Cork -UCC,http://www.ucc.ie/en/discover,353215000000,-8.492377,51.89182,Cork,Cork City,Republic of Ireland,"Restaurant,Historic Houses and Castle,Cafe,Food and Drink"
Drumkeerin Heritage Centre,,353720000000,-8.147950078,54.17060467,Leitrim,,Republic of Ireland,Visitor Farm
Tullylease Church And Cross Slabs,http://www.irishstones.org/place.aspx?p=861&i=12,,-8.9402469,52.316655,Cork,Tullylease,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The James Joyce Centre,http://www.jamesjoyce.ie,+353(0)18788547,-6.259988,53.354157,Dublin,,Republic of Ireland,"Learning,Historic Houses and Castle,Museums and Attraction,Literary Ireland,Food Shops,Shopping,Tour,Walking"
Clonmore Castle,"http://www.megalithicireland.com/Clonmore%20Castle,%20Carlow.html",,-6.5751246,52.8282856,Carlow,Hacketstown,Ireland,"Castle,Historic Houses and Castle,Ruins"
Westport Greenway,http://www.mayowalks.ie/WalkingTrails/Greenway/WestportGreenway/,,-9.5143467,53.8021307,Mayo,Westport,Ireland,"Walking,Natural Landscape"
Emlagh Loop,http://www.irishtrails.ie/trail/Emlagh-Loop/685/,,-10.27308976,51.82468114,Kerry,,Ireland,"Walking,Beach,Natural Landscape"
South Mayo Family Research Centre,http://www.mayo.irishroots.net/,353950000000,-9.222428,53.623485,Mayo,Ballinrobe,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction"
Ballinastoe Slí,http://trails.ie/map.php?keyword=ballinastoe,,-6.226409,53.1092776,Wicklow,Roundwood,Ireland,"Walking,Natural Landscape,Public Park,Nature and Wildlife"
Nolans Castle,http://www.enniscrone.ie/castle,353719000000,-9.0855335,54.2161835,Sligo,Enniscrone,Ireland,"Castle,Historic Houses and Castle"
Kilnaboy Medieval Church and Round Tower,,353657000000,-9.079651,52.972126,Clare,Ennis,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Bourn Vincent Gallery,https://ulsites.ul.ie/visualarts/current-and-upcoming-events,35361333644,-8.573732,52.6744919,Limerick,,Ireland,"Craft,Shopping,Art Gallery"
Aran Islands - Inisheer  - Inis Oírr,http://www.discoverinisoirr.com,3539975008,-9.5281381,53.0594423,Galway,,Ireland,"Island,Offshore Island"
Camas Park Garden,https://www.tipperarytown.ie/see-and-do/camas-park-gardens,353863000000,-7.929296,52.53716,Tipperary,Cashel,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Cahervagliar Fort,http://www.coppeenheritage.com/archives/cahir/index.html,3532646078,-8.996941,51.792933,Cork,Coppeen,Republic of Ireland,"Ruins,Historic Houses and Castle"
Ballyteigue Strand,http://www.fishingireland.net,,-6.588429147,52.17149917,Wexford,Kilmore Quay,Republic of Ireland,"Fishing,Angling,Beach"
Mooghaun Bronze Age Hillfort,,,-8.8792287,52.7821867,Clare,,Ireland,Museums and Attraction
Droichead Arts Centre,http://www.droichead.com/,+353(0)419833946,-6.353303,53.714428,Louth,Drogheda,Republic of Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink,Pubs and Bar,Activity Operator"
The Butter Slip - Kilkenny,,,-7.252329391,52.65236152,Kilkenny,Kilkenny City,Ireland,Museums and Attraction
Knockdrinna Farmhouse Cheese,http://www.knockdrinna.com/,353869000000,-7.2282304,52.5364101,Kilkenny,Stoneyford,Ireland,"Food and Drink,Agriculture,Nature and Wildlife,Restaurant,Learning,Shopping,Visitor Farm,Artisan,Cafe,Local Produce,Activity Operator"
Portrane Beach,,+353(0)18400077,-6.111352026,53.49614512,Dublin,Portrane,Republic of Ireland,Beach
St. Werburgh's Church,,+353(0)14783710,-6.269412,53.342932,Dublin,Dublin,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Charles Stewart Parnell,,,-6.262251,53.353723,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Freemasons Hall,http://freemason.ie/,+353(0)16761337,-6.255966,53.34108,Dublin,,Republic of Ireland,"Historic Houses and Castle,Museums and Attraction,Food Shops,Shopping,Tour"
The Gallery,http://www.thegallerydunfanaghy.com/,353749000000,-7.9772202,55.1791123,Donegal,Dunfanaghy,Ireland,"Craft,Shopping,Art Gallery"
Dominican Abbey Lorrha,"http://www.megalithicireland.com/Lorrha%20Dominican%20Friary,%20Tipperary.html",,-8.1257745,53.0908735,Tipperary,Lorrha,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Mornington Garden,http://dalkeygardenschool.com,+353(0)872256365,-6.1132572,53.2717553,Dublin,Mornington,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Project Arts Centre,http://www.projectartscentre.ie,+353(0)18819613,-6.266229,53.34502,Dublin,Dublin City Centre,Republic of Ireland,"Craft,Shopping,Art Gallery,Activity Operator,Food Shops"
Aultaghreagh Cottage Garden,http://www.aultaghreaghcottagegarden.com,353239000000,-9.083913637,51.77792113,Cork,Dunmanway,Republic of Ireland,"Walking,Gardens,Garden"
Daniel O'Connell - Fidelity - O'Connell Monument,http://www.talkingstatuesdublin.ie/statues/fidelity/,,-6.259333434,53.34770323,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue"
Ballybunion Lahardane Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Lahardane-Hill-Walk/608/,+353(0)667121288,-9.653116507,52.50812603,Kerry,Ballybunion,Republic of Ireland,"Walking,Natural Landscape"
Saltee Islands,http://www.salteeislands.info/,,-6.588815386,52.17249931,Wexford,Kilmore Quay,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Island,Offshore Island"
Leahy's Open Farm,https://leahysopenfarm.ie/,353838000000,-8.072923129,52.00899811,Cork,Dungourney,Republic of Ireland,"Covid Safety Charter,Restaurant,Climbing,Activity Operator,Visitor Farm,Cafe,Food and Drink"
Poulshone Beach,,,-6.224555489,52.61782494,Wexford,Poulshone,Republic of Ireland,Beach
St Columba's Church,,,-6.879699,53.72754,Meath,Kells,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Granagh Castle,https://visionsofthepastblog.com/2017/08/09/granagh-castle-kilkenny-ireland,,-7.16274,52.28251,Kilkenny,,Ireland,"Castle,Historic Houses and Castle"
Rathgall Stone Fort,,,-6.663035,52.8022318,Wicklow,,Ireland,"Ruins,Historic Houses and Castle"
Swords Museum  and Fingal Genealogy,http://www.swordsheritage.com,35318400080,-6.2181267,53.4627797,Dublin,Swords,Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction"
Exchange Dublin,https://exchangedublin.ie/,,-6.268322263,53.34454746,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Activity Operator"
Maynooth Ecclesiastical Museum,http://museum.maynoothcollege.ie,353879000000,-6.5981017,53.3786106,Kildare,Maynooth,Ireland,Museums and Attraction
Quin Abbey,https://www.clare.ie/do/quin-abbey/,35391844084,-8.86307,52.8191037,Clare,Quin,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carlingford Castle,https://carlingfordheritagecentre.com/portfolio/king-johns-castle/,353429000000,-6.1868336,54.0432392,Louth,Carlingford,Ireland,"Castle,Historic Houses and Castle,Ruins"
St. Luke's Church,http://www.liveatstlukes.com/,,-8.457078,51.904255,Cork,Cork City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Venue,Music"
O'Reilly Theatre,http://www.oreillytheatre.com,+353(0)1858 6690,-6.262116,53.35551,Dublin,,Republic of Ireland,"Literary Ireland,Venue,Music,Food Shops,Shopping"
Knockroe Passage Tomb,http://www.megalithicireland.com/Knockroe%20Passage%20Tomb.html,,-7.3995595,52.4319092,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ballinastoe and Lower Vartry Reservoir Slí na Sláinte,http://www.irishheart.ie/iopen24/walking-routes-t-8_197_200_208_210.html,,-6.202243035,53.091233,Wicklow,Roundwood,Ireland,"Walking,Natural Landscape"
Garryhill House,https://www.buildingsofireland.ie/buildings-search/building/10301651/garryhill-house-garryhill-county-carlow,353600000000,-6.848067,52.678048,Carlow,Bagenalstown,Republic of Ireland,"Castle,Historic Houses and Castle"
Leixlip Castle,http://intokildare.ie/listing/leixlip-castle,35316244430,-6.4906293,53.3620101,,,Ireland,"Agriculture,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Castle,Gardens,Garden,Tour"
Lusk Round Tower,https://www.heritageireland.ie/en/midlands-eastcoast/luskheritagecentre/,+353(0)18331618,-6.167107,53.526025,Dublin,Lusk,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
James Clarence Mangan,http://www.visitdublin.com,+353(0)16057700,-6.259664,53.338458,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Literary Ireland"
Garraí Fadó Garden,https://www.facebook.com/Garra%C3%AD-Fad%C3%B3-Garden-Beara-156532801063072,3532774844,-9.955257441,51.68546683,Cork,Eyeries,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden,Food Shops,Shopping"
Cé Mhachaire Uí Rabhartaigh  (Min Larach Harbour),,,-8.1746006,55.146192,Donegal,,Ireland,Embarkation Point
Inis Mór (Inishmore) Seaport,,,-9.719242279,53.13713245,Galway,Aran Islands,Ireland,"Restaurant,Bird Watching,Nature and Wildlife,Cycling,Shopping,Shopping Centres and Department Store,Swimming,Swimming Pools and Water Park,Venue,Walking,Discovery Point,Island,Offshore Island,Local Produce,Food and Drink,Pubs and Bar"
Irish Jewish Museum,http://www.jewishmuseum.ie/,+353(0)14531797,-6.269414,53.330748,Dublin,South Circular Road,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction,Tour"
The Hooker Brewery,http://www.galwayhooker.ie,353878000000,-8.92873146,53.2693066,Galway,Oranmore,Republic of Ireland,Museums and Attraction
Jenkinstown Wood - Walled Garden Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Walled-Garden-loop/124/,,-7.289804987,52.73050689,Kilkenny,Jenkinstown,Ireland,"Walking,Gardens,Garden,Natural Landscape"
Cnoc Fola,,,-8.2895011,55.137202,Donegal,,Ireland,Discovery Point
Vanda Art Gallery,http://www.vandaluddy.com,353873000000,-9.052645,53.273518,Galway,,Ireland,"Craft,Shopping,Art Gallery"
Molly Malone,http://www.talkingstatuesdublin.ie/statues/molly-malone/,+353(0)16057700,-6.260949959,53.34373992,Dublin,Dublin,Republic of Ireland,"Public Sculpture,Talking Statue"
Inish Beg Island,http://www.inishbeg.com,+353(0)2821745,-9.352918849,51.52125347,Cork,Baltimore,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Island,Offshore Island,Natural Landscape,Cafe,Food and Drink"
O'Gorman's Lane Loop Walk,http://www.irishtrails.ie/Trail/O-Gormans-Lane-/583/,,-7.182288408,52.59235277,Kilkenny,Bennettsbridge,Ireland,"Walking,Natural Landscape"
Newcastle Woods,http://visitlongford.ie/trails/newcastle-woods-walking-trail,353433000000,-7.7261067,53.5621238,Longford,,Ireland,"Walking,Natural Landscape"
Inishbiggle - Gubnadoogha Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Gubnadoogha-Loop/494/,,-9.908755107,53.99601459,Mayo,Ballycroy,Republic of Ireland,"Walking,Island,Offshore Island"
General Post Office,http://www.anpost.ie/AnPost/History+and+Heritage/History/GPO+Dublin/,+353(0)17057000,-6.260654,53.349333,Dublin,,Republic of Ireland,"Historic Houses and Castle,Cafe,Food and Drink,Food Shops,Shopping"
Pleasure Cruisers,http://www.pleasurecruisers.ie,353863000000,-7.927676154,53.83131319,Leitrim,Roosky,Republic of Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Carlow Courthouse,http://www.igp-web.com/Carlow/courthouse.htm,,-6.931212085,52.83821114,Carlow,,Republic of Ireland,"Castle,Historic Houses and Castle"
Top of the Rock Viewing Platform Trail,https://facebook.com/rockviewingplatform,+353(0)872989250,-10.25257468,51.96038621,Kerry,Cahersiveen,Ireland,"Photography,Learning,Walking,Natural Landscape"
Foust Gallery,http://www.sarafoustartist.com,353863000000,-9.293533,52.9398625,Clare,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Kilcock Art Gallery,https://kilcockartgallery.ie/,35316287619,-6.6682154,53.3998824,Kildare,,Ireland,"Craft,Shopping,Art Gallery"
Science Gallery Dublin,https://dublin.sciencegallery.com,35318964091,-6.255503181,53.34386166,Dublin,,Ireland,"Covid Safety Charter,Learning,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping"
Cloyne Round Tower,http://cloyne.ie/about/round-tower,353215000000,-8.1202974,51.8620116,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Balrath Wood,,+353(0)18358022,-6.952315923,53.70557053,Meath,Balrath,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Rush Beach,,,-6.085017801,53.52901043,,,,Beach
Christ Church Castlebar,http://www.tuam.anglican.org/aughaval-westport/castlebar-christ-church,,-9.299977,53.854419,Mayo,Castlebar,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Skryne Church,https://www.skryneandrathfeighparish.ie/,3530470000000,-6.5631088,53.5859852,Meath,Skreen,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Rattoo Round Tower,https://www.gokerry.ie/rattoo-round-tower/,,-9.650194,52.4426651,Kerry,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
